order_id,customer_id,product_id,order_date,amount,payment_method,delivery_location,is_festival_season,category
ORD100000,CUST10451,PROD10326,2026-01-18,68162,COD,Jaipur,1,Electronics - Laptop
ORD100001,CUST11834,PROD10253,2026-01-29,1012,COD,Raipur,1,Beauty & Personal Care
ORD100002,CUST10576,PROD10200,2026-01-11,743,COD,Kochi,1,Beauty & Personal Care
ORD100003,CUST11931,PROD10229,2026-02-26,703,COD,Mumbai,0,Electronics - Accessories
ORD100004,CUST10825,PROD10390,2026-02-25,481,UPI,Chandigarh,0,Sports & Fitness
ORD100005,CUST11221,PROD10070,2026-01-23,2542,COD,Bhopal,1,Home & Kitchen
ORD100006,CUST11635,PROD10047,2026-02-17,23456,Wallet,Kolkata,0,Electronics - Mobile
ORD100007,CUST11889,PROD10196,2026-01-04,234,Prepaid,Chandigarh,0,Electronics - Accessories
ORD100008,CUST11575,PROD10398,2026-01-17,1108,COD,Jaipur,1,Sports & Fitness
ORD100009,CUST11918,PROD10268,2026-02-13,11479,Prepaid,Delhi,0,Electronics - Mobile
ORD100010,CUST11987,PROD10099,2026-01-13,1012,COD,Mumbai,1,Sports & Fitness
ORD100011,CUST10475,PROD10045,2026-01-09,924,Card,Vadodara,1,Fashion - Footwear
ORD100012,CUST10732,PROD10366,2026-01-11,2336,COD,Indore,1,Home & Kitchen
ORD100013,CUST11875,PROD10492,2026-01-26,838,COD,Jaipur,1,Fashion - Clothing
ORD100014,CUST11115,PROD10474,2026-01-06,1257,UPI,Ahmedabad,0,Beauty & Personal Care
ORD100015,CUST11739,PROD10460,2026-02-28,1782,COD,Bhopal,0,Fashion - Clothing
ORD100016,CUST10208,PROD10040,2026-02-08,2090,COD,Delhi,0,Fashion - Footwear
ORD100017,CUST10777,PROD10057,2026-01-15,645,UPI,Chandigarh,1,Toys & Baby Products
ORD100018,CUST11689,PROD10262,2026-02-12,50,Wallet,Ahmedabad,0,Electronics - Laptop
ORD100019,CUST11015,PROD10279,2026-02-06,222,Wallet,Vadodara,0,Books
ORD100020,CUST10248,PROD10097,2026-01-14,578,COD,Pune,1,Electronics - Accessories
ORD100021,CUST11825,PROD10341,2026-02-04,348,COD,Kanpur,0,Books
ORD100022,CUST10541,PROD10303,2026-01-04,1105,UPI,Nagpur,0,Fashion - Clothing
ORD100023,CUST11770,PROD10296,2026-01-21,62991,COD,Guwahati,1,Electronics - Laptop
ORD100024,CUST11769,PROD10202,2026-01-19,1341,Prepaid,Chandigarh,1,Fashion - Clothing
ORD100025,CUST10883,PROD10141,2026-01-19,2545,UPI,Kochi,1,Fashion - Footwear
ORD100026,CUST10925,PROD10104,2026-02-13,41774,COD,Pune,0,Electronics - Laptop
ORD100027,CUST10208,PROD10203,2026-01-31,816,UPI,Delhi,1,Electronics - Accessories
ORD100028,CUST11853,PROD10237,2026-02-17,1349,UPI,Hyderabad,0,Sports & Fitness
ORD100029,CUST11874,PROD10095,2026-01-05,60,COD,Hyderabad,0,Electronics - Accessories
ORD100030,CUST10330,PROD10327,2026-01-06,1195,UPI,Hyderabad,0,Fashion - Clothing
ORD100031,CUST10209,PROD10321,2026-01-13,2892,COD,Guwahati,1,Home & Kitchen
ORD100032,CUST11905,PROD10498,2026-01-27,124,COD,Guwahati,1,Books
ORD100033,CUST11118,PROD10174,2026-02-17,50533,Wallet,Raipur,0,Electronics - Laptop
ORD100034,CUST10478,PROD10388,2026-01-28,1275,UPI,Patna,1,Toys & Baby Products
ORD100035,CUST11791,PROD10421,2026-02-04,2904,COD,Vadodara,0,Fashion - Footwear
ORD100036,CUST10235,PROD10434,2026-02-02,75047,COD,Vadodara,1,Electronics - Laptop
ORD100037,CUST11395,PROD10163,2026-01-27,843,COD,Pune,1,Fashion - Footwear
ORD100038,CUST10468,PROD10293,2026-02-18,1879,COD,Pune,0,Sports & Fitness
ORD100039,CUST11513,PROD10011,2026-02-01,827,Wallet,Vadodara,1,Sports & Fitness
ORD100040,CUST10824,PROD10348,2026-01-08,312,COD,Kanpur,1,Beauty & Personal Care
ORD100041,CUST11433,PROD10031,2026-01-26,29818,Wallet,Hyderabad,1,Electronics - Mobile
ORD100042,CUST10483,PROD10460,2026-01-26,1782,COD,Hyderabad,1,Fashion - Clothing
ORD100043,CUST11653,PROD10075,2026-02-25,3232,Card,Patna,0,Home & Kitchen
ORD100044,CUST11565,PROD10001,2026-01-25,1792,Prepaid,Jaipur,1,Home & Kitchen
ORD100045,CUST11349,PROD10430,2026-01-11,208,COD,Chandigarh,1,Fashion - Clothing
ORD100046,CUST11288,PROD10178,2026-01-21,494,Prepaid,Indore,1,Beauty & Personal Care
ORD100047,CUST10805,PROD10347,2026-02-25,96,Prepaid,Kanpur,0,Toys & Baby Products
ORD100048,CUST11591,PROD10171,2026-02-04,847,Prepaid,Ranchi,0,Fashion - Footwear
ORD100049,CUST11406,PROD10135,2026-01-26,4324,Prepaid,Guwahati,1,Home & Kitchen
ORD100050,CUST11070,PROD10333,2026-02-19,461,Prepaid,Indore,0,Fashion - Clothing
ORD100051,CUST11168,PROD10071,2026-01-21,75760,Wallet,Lucknow,1,Electronics - Laptop
ORD100052,CUST11546,PROD10304,2026-01-03,789,Card,Indore,0,Toys & Baby Products
ORD100053,CUST10481,PROD10220,2026-02-09,91293,Card,Vadodara,0,Electronics - Laptop
ORD100054,CUST11604,PROD10279,2026-02-25,222,COD,Raipur,0,Books
ORD100055,CUST10324,PROD10064,2026-02-27,925,Card,Kanpur,0,Beauty & Personal Care
ORD100056,CUST11635,PROD10017,2026-02-08,362,COD,Kolkata,0,Books
ORD100057,CUST10470,PROD10339,2026-02-23,330,Card,Kanpur,0,Electronics - Accessories
ORD100058,CUST11039,PROD10496,2026-01-19,281,COD,Ahmedabad,1,Fashion - Clothing
ORD100059,CUST10610,PROD10451,2026-02-08,2264,Prepaid,Jaipur,0,Fashion - Footwear
ORD100060,CUST11325,PROD10043,2026-01-19,239,COD,Ranchi,1,Books
ORD100061,CUST11282,PROD10279,2026-02-02,222,Prepaid,Nagpur,1,Books
ORD100062,CUST11423,PROD10335,2026-01-29,726,COD,Patna,1,Fashion - Clothing
ORD100063,CUST11891,PROD10091,2026-01-16,790,Wallet,Hyderabad,1,Electronics - Accessories
ORD100064,CUST10916,PROD10199,2026-01-31,71,COD,Guwahati,1,Books
ORD100065,CUST11575,PROD10497,2026-02-12,1047,COD,Jaipur,0,Sports & Fitness
ORD100066,CUST11912,PROD10315,2026-01-29,15168,COD,Delhi,1,Electronics - Mobile
ORD100067,CUST11597,PROD10039,2026-02-09,16574,COD,Nagpur,0,Electronics - Mobile
ORD100068,CUST11285,PROD10339,2026-01-30,330,Wallet,Lucknow,1,Electronics - Accessories
ORD100069,CUST10787,PROD10277,2026-01-10,10198,Wallet,Guwahati,1,Electronics - Mobile
ORD100070,CUST11035,PROD10254,2026-02-15,284,UPI,Kolkata,0,Fashion - Footwear
ORD100071,CUST10655,PROD10264,2026-02-06,39948,COD,Jaipur,0,Electronics - Laptop
ORD100072,CUST11535,PROD10019,2026-02-20,50,Card,Raipur,0,Beauty & Personal Care
ORD100073,CUST11395,PROD10268,2026-01-01,11479,COD,Pune,0,Electronics - Mobile
