return_id,order_id,customer_id,return_date,reason,refund_amount,days_to_return
RET10000,ORD100000,CUST10451,2026-01-25,Wrong item received,68162,7
RET10001,ORD100001,CUST11834,2026-02-11,Changed mind,1012,13
RET10002,ORD100002,CUST10576,2026-01-16,Product not as described,743,5
RET10003,ORD100003,CUST11931,2026-03-04,Damaged in shipping,703,6
RET10004,ORD100007,CUST11889,2026-01-12,Product not as described,234,8
RET10005,ORD100008,CUST11575,2026-01-26,Changed mind,1108,9
RET10006,ORD100010,CUST11987,2026-01-19,Better price elsewhere,1012,6
RET10007,ORD100012,CUST10732,2026-01-15,Defective product,2336,4
RET10008,ORD100013,CUST11875,2026-02-09,Defective product,838,14
RET10009,ORD100015,CUST11739,2026-03-14,Damaged in shipping,1782,14
RET10010,ORD100016,CUST10208,2026-02-12,Better price elsewhere,2090,4
RET10011,ORD100017,CUST10777,2026-01-24,Size/fit issue,645,9
RET10012,ORD100020,CUST10248,2026-01-26,Damaged in shipping,578,12
RET10013,ORD100021,CUST11825,2026-02-16,Wrong item received,348,12
RET10014,ORD100024,CUST11769,2026-01-28,Wrong item received,1341,9
RET10015,ORD100025,CUST10883,2026-01-27,Size/fit issue,2545,8
RET10016,ORD100026,CUST10925,2026-02-21,Better price elsewhere,41774,8
RET10017,ORD100030,CUST10330,2026-01-09,Quality not as expected,1195,3
RET10018,ORD100036,CUST10235,2026-02-05,Better price elsewhere,75047,3
RET10019,ORD100037,CUST11395,2026-02-09,Changed mind,843,13
RET10020,ORD100038,CUST10468,2026-03-02,Product not as described,1879,12
RET10021,ORD100041,CUST11433,2026-02-03,Size/fit issue,29818,8
RET10022,ORD100042,CUST10483,2026-02-05,Wrong item received,1782,10
RET10023,ORD100045,CUST11349,2026-01-18,Wrong item received,208,7
RET10024,ORD100055,CUST10324,2026-03-12,Changed mind,925,13
RET10025,ORD100058,CUST11039,2026-01-20,Changed mind,281,1
RET10026,ORD100059,CUST10610,2026-02-18,Defective product,2264,10
RET10027,ORD100062,CUST11423,2026-02-09,Product not as described,726,11
RET10028,ORD100064,CUST10916,2026-02-02,Product not as described,71,2
RET10029,ORD100066,CUST11912,2026-02-02,Product not as described,15168,4
RET10030,ORD100069,CUST10787,2026-01-24,Quality not as expected,10198,14
RET10031,ORD100071,CUST10655,2026-02-14,Product not as described,39948,8
RET10032,ORD100075,CUST10106,2026-01-21,Quality not as expected,14851,3
RET10033,ORD100083,CUST11307,2026-02-23,Defective product,203,13
RET10034,ORD100085,CUST11118,2026-03-08,Quality not as expected,4219,9
RET10035,ORD100086,CUST10696,2026-01-13,Defective product,1911,2
RET10036,ORD100089,CUST10364,2026-02-02,Damaged in shipping,1178,11
RET10037,ORD100090,CUST11983,2026-01-14,Product not as described,607,3
RET10038,ORD100092,CUST11084,2026-02-25,Defective product,829,5
RET10039,ORD100093,CUST10457,2026-02-15,Wrong item received,615,13
RET10040,ORD100094,CUST11455,2026-01-29,Size/fit issue,743,5
RET10041,ORD100095,CUST11948,2026-02-07,Damaged in shipping,297,6
RET10042,ORD100103,CUST11717,2026-01-16,Wrong item received,1036,2
RET10043,ORD100104,CUST10180,2026-01-26,Size/fit issue,1211,7
RET10044,ORD100105,CUST11694,2026-01-27,Wrong item received,1358,14
